ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Habrotrocha-angusticollis-alterversa	Habrotrocha		angusticollis	alterversa	Koste 1970	Veröffentlichungen des naturwissenschaftlichen Vereins Osnabrück, 33: p.141, pl.1, fig.1; no deposited types known [junior subjective synonym of Habrotrocha angusticollis (Murray, 1905); name declinable]
Pleurotrocha-altilis	Pleurotrocha		altilis		Myers 1940	Notulae Naturae of the Academy of Natural Sciences of Philadelphia, 51: p.4, pl.2, figs.1,2,7,8,11,16; syntypes: ANSP 1715, AMNH 1115 [valid as Pleurotrocha altilis; name declinable]
Macrotrachela-libera-alveolata	Macrotrachela		libera	alveolata	Koniar 1955	Práce II. sekcie Slovenskej akadémie vied. Séria biologická, 1: p.42, fig.27; no deposited types known [valid as Macrotrachela libera alveolata; name declinable]
Lecane-amazoniana	Lecane		amazoniana		Koste & Robertson 1983	Amazoniana, 8: p.232, fig.5; no deposited types known [junior subjective synonym of Lecane eutarsa Harring & Myers, 1926; name declinable]
Lecane-amazonica	Lecane		amazonica		Koste & Böttger 1992	Amazoniana, 12: p.288, fig.8; no deposited types known; permanently invalid: preoccupied by Lecane closterocerca amazonica Koste, 1978 [junior subjective synonym of Lecane eutarsa Harring & Myers, 1926; name declinable]
Lecane-aspasia-amazonica	Lecane		aspasia	amazonica	Koste & Robertson 1983	Amazoniana, 8: p.233, fig.6; no deposited types known; permanently invalid: preoccupied by Lecane closterocerca amazonica Koste, 1978, replaced by Lecane robertsonae Segers, 1993 [name declinable]
Lecane-closterocerca-amazonica	Lecane		closterocerca	amazonica	Koste 1978	in Koste, W, Rotatoria. Die Rädertiere Mitteleuropas. Monogononta: p.257, pl.84, fig.6a-b; no deposited types known [preoccupied by Lecane amazonica (Murray, 1913); junior subjective synonym of nominotypical taxon; name declinable]
Lepadella-amazonica	Lepadella		amazonica		Segers 1993	Belgian Journal of Zoology, 123: p.117, fig.4; no deposited types known [valid as Lepadella amazonica; name declinable]
Monostyla-amazonica	Monostyla		amazonica		Murray 1913	Journal of the Royal Microscopical Society, 33: p.354, pl.15, fig.32; no deposited types known [valid as Lecane amazonica; name declinable]
Testudinella-tridentata-amazonica	Testudinella		tridentata	amazonica	Thomasson 1971	Verhandelingen van de Koninklijke Belgisch Instituut voor Wetenschappen, 86: p.53, pl.22, fig.9; no deposited types known [valid as Testudinella tridentata amazonica; name declinable]
