ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Pleurotrochopsis-anebodica	Pleurotrochopsis		anebodica		Bērziņš 1973	Hydrobiologia, 41: p.449, figs.1-5; no deposited types known [type species of genus Pleurotrochopsis Bērziņš, 1973; junior subjective synonym of Pleurotrochopsis multispinosa (Fadeev, 1925); name declinable]
Notholca-angakkoq	Notholca		angakkoq		Sørensen 1998	Hydrobiologia, 386: p.159, figs.4-6; holotype: ZMUC Rot-11 [valid as Notholca angakkoq; name indeclinable]
Ascomorpha-anglica	Ascomorpha		anglica		Perty 1852	in Perty, M, Zur Kenntnis kleinster Lebensformen nach Bau, Funktionen, Systematik, mit Spezialverzeichnis der in der Schweiz beobachteten: p.39; no deposited types known [junior subjective synonym of Asplanchna brightwellii Gosse, 1850; name declinable]
Balatro-anguiformis	Balatro		anguiformis		Issel 1904	Archivio Zoologico, 2: p.2, fig.1; no deposited types known [valid as Balatro anguiformis; name declinable]
Brachionus-angularis	Brachionus		angularis		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.203; no deposited types known [valid as Brachionus angularis; name declinable]
Callidina-angularis	Callidina		angularis		Murray 1910	British Antarctic Expedition 1907-9, under the command of Sir E.H. Shackleton, c.v.o. Reports on the scientific investigations, 1: p.49, pl.12, fig.12; no deposited types known [valid as Habrotrocha angularis; name declinable]
Anuraea-angulata	Anuraea		angulata		Daday 1906	Mathematikai és Természettudományi Értesítő, 24: p.57; no deposited types known [valid as Notholca angulata; name declinable]
Metopidia-angulata	Metopidia		angulata		Anderson 1889	Journal of the Asiatic Society of Bengal, 58: p.356, pl.21, fig.10; no deposited types known [junior subjective synonym of Lepadella ehrenbergii (Perty, 1850); name declinable]
Testudinella-angulata	Testudinella		angulata		Myers 1934	American Museum Novitates, 761: p.1, figs.1,2; syntypes: AMNH 390 [valid as Testudinella angulata; name declinable]
Brachionus-urceolaris-angulatus	Brachionus		urceolaris	angulatus	Seligo 1900	in Seligo, A, Rotatoria: p.61, pl.9, fig.9; no deposited types known [junior subjective synonym of Brachionus angularis Gosse, 1851; name declinable]
Anuraea-cochlearis-angulifera	Anuraea		cochlearis	angulifera	Lauterborn 1900	Verhandlungen des naturhistorisch- medizinischen Vereins zu Heidelberg, 6: figs.17-18; no deposited types known [junior subjective synonym of Keratella irregularis (Lauterborn, 1898); name declinable]
Aspelta-angusta	Aspelta		angusta		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, Arts and Letters, 23: p.787, pl.48, figs.3-4; no deposited types known [valid as Aspelta angusta; name declinable]
Callidina-angusta	Callidina		angusta		Bryce 1894	Journal of the Quekett Microscopical Club, (ser. 2) 5: p.451, pl.24, fig.6; no deposited types known [valid as Macrotrachela angusta; name declinable]
Cephalodella-angusta	Cephalodella		angusta		Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, Arts and Letters, 21: p.467, pl.27, fig.2; no deposited types known [valid as Cephalodella angusta; name declinable]
Lepadella-angusta	Lepadella		angusta		Bērziņš 1961	Proceedings of the Royal Society of Victoria, 74: p.85, figs.7-12; no deposited types known [valid as Lepadella angusta; name declinable]
Notommata-angusta	Notommata		angusta		Harring & Myers 1922	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 20: p.580, pl.52, figs.9-12; syntypes: AMNH 632 [valid as Notommata angusta; name declinable]
Callidina-angusticollis	Callidina		angusticollis		Murray 1905	Transactions of the Royal Society of Edinburgh, 41: p.374, pl.3, fig.2; no deposited types known [type species of genus Habrotrocha Bryce, 1910; valid as Habrotrocha angusticollis; name declinable]
Cephalodella-ventripes-angustior	Cephalodella		ventripes	angustior	Donner 1949	Archiv für Hydrobiologie, 42: p.308, fig.2; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Brachionus-mirus-angustus	Brachionus		mirus	angustus	Koste 1972	Amazoniana, 3: p.370, pl.9, fig.1a-f; lectotype: INPA 006 [junior subjective synonym of nominotypical taxon; name declinable]
Mniobia-animosa	Mniobia		animosa		Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.178, pl.12, fig.13; no deposited types known [valid as Mniobia animosa; name declinable]
Brachionus-bakeri-anisitsi	Brachionus		bakeri	anisitsi	Daday 1905	Zoologica, 18: p.365 (figure caption), pl.7, fig.8; no deposited types known [junior subjective synonym of Brachionus quadridentatus Hermann, 1783; name indeclinable]
Lindia-annecta	Lindia		annecta		Harring & Myers 1922	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 20: p.622, pl.54, figs.6-9; syntypes: AMNH 148 [valid as Lindia annecta; name indeclinable]
Callidina-annulata	Callidina		annulata		Murray 1905	Transactions of the Royal Society of Edinburgh, 41: p.375, pl.3, fig.3; no deposited types known [valid as Habrotrocha annulata; name declinable]
Floscularia-annulata	Floscularia		annulata		Hood 1888	Science Gossip, London, 24: p.8, figs.4-5; no deposited types known [valid as Collotheca annulata; name declinable]
Limnias-annulata	Limnias		annulata		Bailey 1855	Smithsonian contributions to knowledge, 7 (Art. III): p.4, fig.28; no deposited types known [junior subjective synonym of Limnias melicerta Weisse, 1848; name declinable]
Otostephanos-annulatus	Otostephanos		annulatus		Koniar 1955	Biologia (Bratislava), 10: p.458, fig.10; no deposited types known [valid as Otostephanos annulatus; name declinable]
Seison-annulatus	Seison		annulatus		Claus 1876	Festschrift zur Feier des fünfundzwanzigjährigen Bestehens der K. K. Zoologisch-Botanischen Gesellschaft in Wien: p.79, pl.2, figs.11,12; no deposited types known [valid as Paraseison annulatus; name declinable]
Taphrocampa-annulosa	Taphrocampa		annulosa		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.199; no deposited types known [type species of genus Taphrocampa Gosse, 1851; valid as Taphrocampa annulosa; name declinable]
Colurella-anodonta	Colurella		anodonta		Carlin 1939	Meddelanden Lunds Universitets Limnologiska Institution, 2: p.12, fig.3e; Holotype: Lund, no cat. nr. indicated [valid as Colurella anodonta; name declinable]
Philodina-antarctica	Philodina		antarctica		Murray 1910	British Antarctic Expedition 1907-9, under the command of Sir E.H. Shackleton, c.v.o. Reports on the scientific investigations, 1: p.45, pl.10, fig.5; no deposited types known [valid as Philodina antarctica; name indeclinable]
Eosphora-anthadis	Eosphora		anthadis		Harring & Myers 1922	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 20: p.641, pl.58, figs.9-13; syntype: AMNH 304 [valid as Eosphora anthadis; name indeclinable]
Aspelta-harringi-antonowiezae	Aspelta		harringi	antonowiezae	d’Hondt 1970	in d ́Hondt, J L, Inventaire de la faune marine de Roscoff. Gastrotriches, Kinorhynques, Rotifères, Tardigrades: p.18, fig.1; no deposited types known [junior subjective synonym of Aspelta clydona Harring & Myers, 1928; name indeclinable]
Brachionus-pala-anuraeiformis	Brachionus		pala	anuraeiformis	Brehm 1909	Archiv für Hydrobiologie, 4: p.210, fig.; no deposited types known [junior subjective synonym of Brachionus calyciflorus Pallas, 1766; name declinable]
Lecane-apatinensis	Lecane		apatinensis		Živković 1987	Zbornik radova o fauni SR Srbije, 4: p.69, fig.67; no deposited types known [junior subjective synonym of Lecane subtilis Harring & Myers, 1926; name declinable]
Encentrum-aper	Encentrum		aper		Harring 1913	Proceedings of the United States National Museum, 46: p.394, pl.34, figs.7-10; holotype: USNM 16517 [valid as Aspelta aper; name indeclinable]
Colurella-obtusa-aperta	Colurella		obtusa	aperta	Hauer 1936	Beiträge zur naturkundlichen Forschung in Südwestdeutschland, 1: p.139, pl.1, fig.8a; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Monostyla-lunaris-aperta	Monostyla		lunaris	aperta	Steinecke 1916	Schriften der Physikalisch-ökonomischen Gesellschaft zu Königsberg in Preussen, 57: p.96, fig.2c,d; no deposited types known [junior subjective synonym of Lecane obtusa (Murray, 1913); name declinable]
Notommata-apochaeta	Notommata		apochaeta		Myers 1933	American Museum Novitates, 659: p.8, fig.4; no deposited types known [valid as Notommata apochaeta; name indeclinable]
Cephalodella-apocolea	Cephalodella		apocolea		Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 21: p.509, pl.33, figs.1-2; syntype: AMNH 447 (deteriorated) [valid as Cephalodella apocolea; name indeclinable]
Cathypna-appendiculata	Cathypna		appendiculata		Levander 1894	Acta Societatis pro Fauna et Flora Fennica, 12: p.50, pl.3, fig.30; no deposited types known [junior subjective synonym of Lecane ohioensis (Herrick, 1885); name declinable]
Distyla-appendiculata	Distyla		appendiculata		Daday 1901	Dritte asiatische Forschungsreise des Grafen Eugen Zichy, 2: p.456, pl.24, figs.10,11; no deposited types known [preoccupied as Lecane appendiculata (Levander, 1894) non (Skorikov, 1898); junior subjective synonym of Lecane ichthyoura (Shephard, 1892); name declinable]
Floscularia-appendiculata	Floscularia		appendiculata		Leydig 1854	Zeitschrift für wissenschaftliche Zoologie, 6: p.3, pl.1, fig.6; no deposited types known [junior subjective synonym of Collotheca ornata (Ehrenberg, 1830); name declinable]
Habrotrocha-appendiculata	Habrotrocha		appendiculata		Murray 1911	Journal of the Royal Microscopical Society, 31: p.14, pl.1, fig.4; no deposited types known [valid as Habrotrocha appendiculata; name declinable]
Monommata-appendiculata	Monommata		appendiculata		Stenroos 1898	Acta Societatis pro Fauna et Flora Fennica, 17: p.135, pl.1, figs.33,34; no deposited types known [valid as Monommata appendiculata; name declinable]
Monostyla-appendiculata	Monostyla		appendiculata		Skorikov 1898	Zoologischer Anzeiger, 21: p.556, text-fig.; no deposited types known [preoccupied as Lecane appendiculata (Levander, 1894); junior subjective synonym of Lecane lamellata (Daday, 1893); name declinable]
Lepadella-apsicora	Lepadella		apsicora		Myers 1934	American Museum Novitates, 760: p.5, figs.13-15; holotype: AMNH 675 [valid as Lepadella apsicora; name declinable]
Lepadella-apsida	Lepadella		apsida		Harring 1916	Proceedings of the United States National Museum, 51: p.536, pl.89, figs.1-3; holotype: USNM 16826 [valid as Lepadella apsida; name indeclinable]
Polyarthra-aptera	Polyarthra		aptera		Hood 1893	Journal of the Quekett Microscopical Club, (ser. 2) 5: p.281, pl.12, fig.2; no deposited types known [type species of genus Anarthra Hood, 1895; species inquirenda; name declinable]
Colurella-aquaeducti	Colurella		aquaeducti		Török 1956	Acta Zoologica Hungarica, 2: p.304, fig.5; no deposited types known [valid as Colurella aquaeducti; name indeclinable]
Diglena-aquila	Diglena		aquila		Gosse 1887	Journal of the Royal Microscopical Society, 7: p.865, pl.14, fig.10; no deposited types known [valid as Encentrum aquila; name indeclinable]
Lecane-aquila	Lecane		aquila		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.334, pl.13, figs.1-2; syntypes: ANSP 0357, AMNH 367.1, 367.2 [junior subjective synonym of Lecane signifera (Jennings, 1896); name indeclinable]
Lepadella-arabica	Lepadella		arabica		Segers & Dumont 1993	Fauna of Saudi Arabia, 13: p.19, fig.12; holotype: RBINS RIR0001IG27842 [junior subjective synonym of Lepadella eurysterna Myers, 1942; name declinable]
Parencentropsis-araii	Parencentropsis		araii		Sudzuki 1960	Bulletin of the Biogeographical Society of Japan, 21: p.22, fig.3; no deposited types known [junior subjective synonym of Parencentrum lutetiae (Harring & Myers, 1928); name indeclinable]
Synchaeta-arcifera	Synchaeta		arcifera		Xu 1998	Acta hydrobiologica Sinica, 22: p.164, fig.1; holotype: FNU, no cat. nr. indicated [valid as Synchaeta arcifera; name declinable]
Synchaeta-lakowitziana-arctica	Synchaeta		lakowitziana	arctica	De Smet 1988	Fauna Norvegica, Series A, 9: p.16, pl.7, fig.5; holotype: RUCA, no cat. nr. indicated [valid as Synchaeta lakowitziana arctica; name declinable]
Trichocerca-arctica	Trichocerca		arctica		Voigt 1957	in Voigt, M, Rotatoria. Die Rädertiere Mitteleuropas: p.330; no deposited types known [new replacement name for Trichocerca minuta (Olofsson, 1918) non (Gosse, 1886); junior subjective synonym of Trichocerca obtusidens (Olofsson, 1918); name declinable]
Dipodina-arctiscon	Dipodina		arctiscon		Ehrenberg 1842	Neue Notizen aus dem Gebiete der Natur- und Heilkunde / gesammelt und mitgetheilt von L.F.v. Froriep, 24: p.184; no deposited types known [type species of genus Dipodina Ehrenberg, 1842; species inquirenda et incertae sedis; name indeclinable]
Cephalodella-arcuata	Cephalodella		arcuata		Wulfert 1937	Archiv für Hydrobiologie, 31: p.601, fig.12; no deposited types known [valid as Cephalodella arcuata; name declinable]
Monostyla-arcuata	Monostyla		arcuata		Bryce 1891	Science Gossip, London, 27: p.206, fig.184, 185; no deposited types known [valid as Lecane arcuata; name declinable]
Lecane-arcula	Lecane		arcula		Harring 1914	Proceedings of the United States National Museum, 47: p.539, pl.19, figs.4-6; holotype: USNM 16573 [valid as Lecane arcula; name indeclinable]
Encentrum-arenarium	Encentrum		arenarium		Althaus 1957	Wissenschaftliche Zeitschrift der Martin-Luther- Universität Halle-Wittenberg, 6: p.450, fig.7; no deposited types known [valid as Encentrum arenarium; name declinable]
Euchlanis-arenosa	Euchlanis		arenosa		Myers 1936	American Museum Novitates, 830: p.16, figs20,25,26; syntypes: ANSP 0234, AMNH 764 [valid as Euchlanis arenosa; name declinable]
Brachionus-bakeri-areolatus	Brachionus		bakeri	areolatus	Daday 1902	Természetrajzi Füzetek kiadja a Magyar nemzeti Múzeum, 25: p.205, fig.1; no deposited types known [junior subjective synonym of Brachionus bidentatus Anderson, 1889; name declinable]
Gomphogaster-areolata	Gomphogaster		areolata		Vorce 1887	Proceedings of the American Society of Microscopists, 9: p.250, figs.1-6; no deposited types known [type species of genus Gomphogaster Vorce, 1887; species inquirenda; name declinable]
Eothinia-argus	Eothinia		argus		Harring & Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 21: p.530, pl.41, figs.6-11; syntype: AMNH 677 (deteriorated) [valid as Eothinia argus; name indeclinable]
Sinantherina-ariprepes	Sinantherina		ariprepes		Edmondson 1939	Transactions of the American Microscopical Society, 58: p.468, figs.25-29; no deposited types known [valid as Sinantherina ariprepes; name indeclinable]
Keratella-armadura	Keratella		armadura		Stemberger 1990	Canadian Journal of Zoology, 68: p.2307, figs.1,2; holotype: NMCIC 1989-0123 [valid as Keratella armadura; name indeclinable]
Callidina-armata	Callidina		armata		Murray 1905	Transactions of the Royal Society of Edinburgh, 41: p.379, pl.6, fig.10; no deposited types known [valid as Mniobia armata; name declinable]
Floscularia-armata	Floscularia		armata		Segers 1997	Hydrobiologia, 354: p.169, figs.15-30,39,42; holotype: RBINS RIR0090IG28485 [valid as Floscularia armata; name declinable]
Lecane-armata	Lecane		armata		Thomasson 1971	Verhandelingen van de Koninklijke Belgisch Instituut voor Wetenschappen, 86: p.51, pl.24, figs.6-7; no deposited types known [valid as Lecane armata; name declinable]
Encentrum-putorius-armatum	Encentrum		putorius	armatum	Donner 1943	Zoologischer Anzeiger, 143: p.66, fig.3; no deposited types known [valid as Encentrum armatum; name declinable]
Testudinella-armiger	Testudinella		armiger		Myers 1942	Proceedings of the Academy of Natural Sciences of Philadelphia, 94: p.281, pl.25, fig.4,7; syntypes: ANSP 0966, AMNH 1191 [valid as Testudinella armiger; name indeclinable]
Callidina-armillata	Callidina		armillata		Murray 1911	Journal of the Royal Microscopical Society, 31: p.168, pl.4, fig.2; no deposited types known [valid as Macrotrachela armillata; name declinable]
Monommata-arndti	Monommata		arndti		Remane 1933	in Remane, A, Rotatoria: p.567,568; no deposited types known [junior subjective synonym of Monommata actices Myers, 1930; name indeclinable]
Philodina-arndti	Philodina		arndti		Wulfert 1961	Archiv für Hydrobiologie, 58: p.99, fig.40; no deposited types known [valid as Philodina arndti; name indeclinable]
